ID,Name,Age,Country,Score,Signup_Date
1,User_1,52.0,UK,57.7,2020-01-01 00:00:00
2,User_2,59.0,India,63.39,2020-01-01 01:00:00
3,User_3,53.0,UK,,2020-01-01 02:00:00
4,,26.0,Kenya,69.14,2020-01-01 03:00:00
5,,,UK,98.66,2020-01-01 04:00:00
6,User_6,20.0,UK,56.85,2020-01-01 05:00:00
7,User_7,28.0,Germany,65.7,2020-01-01 06:00:00
8,User_8,37.0,Kenya,57.37,2020-01-01 07:00:00
9,User_9,42.0,India,84.06,2020-01-01 08:00:00
10,User_10,21.0,USA,52.4,2020-01-01 09:00:00
11,User_11,36.0,India,64.64,2020-01-01 10:00:00
12,User_12,47.0,Kenya,75.15,2020-01-01 11:00:00
13,User_13,23.0,Germany,,2020-01-01 12:00:00
14,User_14,53.0,Germany,,2020-01-01 13:00:00
15,User_15,18.0,India,56.92,2020-01-01 14:00:00
16,User_16,,USA,82.73,2020-01-01 15:00:00
17,User_17,44.0,USA,90.65,2020-01-01 16:00:00
18,User_18,26.0,,61.17,2020-01-01 17:00:00
19,User_19,34.0,Germany,65.1,
20,User_20,32.0,UK,73.67,2020-01-01 19:00:00
21,,52.0,India,98.03,2020-01-01 20:00:00
22,User_22,50.0,Germany,77.52,2020-01-01 21:00:00
23,User_23,54.0,Canada,90.52,2020-01-01 22:00:00
24,User_24,18.0,USA,83.06,2020-01-01 23:00:00
25,User_25,53.0,Germany,97.18,2020-01-02 00:00:00
26,User_26,18.0,,73.56,2020-01-02 01:00:00
27,User_27,,Kenya,90.37,
28,User_28,48.0,Germany,,2020-01-02 03:00:00
29,User_29,41.0,Kenya,57.65,2020-01-02 04:00:00
30,User_30,26.0,Germany,71.91,2020-01-02 05:00:00
31,User_31,35.0,Kenya,92.09,2020-01-02 06:00:00
32,,21.0,Germany,99.73,2020-01-02 07:00:00
33,User_33,53.0,Germany,87.27,2020-01-02 08:00:00
34,User_34,40.0,Kenya,63.12,2020-01-02 09:00:00
35,User_35,20.0,India,88.54,2020-01-02 10:00:00
36,,44.0,UK,99.61,2020-01-02 11:00:00
37,User_37,24.0,UK,96.2,2020-01-02 12:00:00
38,User_38,34.0,USA,91.76,2020-01-02 13:00:00
39,User_39,23.0,,75.5,2020-01-02 14:00:00
40,User_40,32.0,Canada,69.9,2020-01-02 15:00:00
41,User_41,35.0,Germany,78.04,2020-01-02 16:00:00
42,User_42,29.0,UK,66.38,2020-01-02 17:00:00
43,,21.0,India,83.48,2020-01-02 18:00:00
44,User_44,43.0,,50.48,2020-01-02 19:00:00
45,User_45,39.0,Kenya,76.09,
46,User_46,51.0,Canada,85.63,
47,User_47,26.0,,58.78,2020-01-02 22:00:00
48,,58.0,Germany,74.58,2020-01-02 23:00:00
49,User_49,51.0,Canada,57.87,2020-01-03 00:00:00
50,User_50,30.0,UK,83.61,2020-01-03 01:00:00
51,User_51,48.0,USA,63.77,2020-01-03 02:00:00
52,User_52,43.0,Germany,68.63,2020-01-03 03:00:00
53,User_53,26.0,UK,78.63,2020-01-03 04:00:00
54,User_54,47.0,UK,53.2,2020-01-03 05:00:00
55,User_55,36.0,Kenya,52.61,2020-01-03 06:00:00
56,User_56,43.0,Germany,85.0,2020-01-03 07:00:00
57,User_57,36.0,Germany,75.56,
58,User_58,25.0,India,94.0,2020-01-03 09:00:00
59,User_59,38.0,USA,,2020-01-03 10:00:00
60,User_60,44.0,Kenya,,2020-01-03 11:00:00
61,User_61,35.0,Kenya,71.93,2020-01-03 12:00:00
62,User_62,55.0,Canada,68.33,2020-01-03 13:00:00
63,User_63,23.0,,54.41,2020-01-03 14:00:00
64,,22.0,Canada,96.48,2020-01-03 15:00:00
65,User_65,45.0,UK,94.4,2020-01-03 16:00:00
66,User_66,49.0,USA,76.69,
67,,54.0,Germany,95.04,
68,User_68,37.0,Canada,70.68,2020-01-03 19:00:00
69,User_69,43.0,Canada,95.95,2020-01-03 20:00:00
70,User_70,38.0,Germany,57.79,2020-01-03 21:00:00
71,,49.0,USA,77.01,2020-01-03 22:00:00
72,User_72,38.0,UK,75.35,2020-01-03 23:00:00
73,User_73,19.0,Kenya,64.53,2020-01-04 00:00:00
74,User_74,,Canada,52.42,2020-01-04 01:00:00
75,,36.0,India,84.72,2020-01-04 02:00:00
76,User_76,60.0,UK,84.81,2020-01-04 03:00:00
77,,52.0,India,85.96,2020-01-04 04:00:00
78,User_78,32.0,,71.83,2020-01-04 05:00:00
79,User_79,,UK,70.16,2020-01-04 06:00:00
80,User_80,31.0,Germany,,2020-01-04 07:00:00
81,User_81,,Canada,77.35,2020-01-04 08:00:00
82,User_82,,Kenya,94.25,
83,User_83,52.0,,73.79,2020-01-04 10:00:00
84,User_84,53.0,India,94.73,2020-01-04 11:00:00
85,User_85,47.0,USA,80.64,2020-01-04 12:00:00
86,User_86,23.0,UK,,2020-01-04 13:00:00
87,User_87,44.0,Canada,84.93,2020-01-04 14:00:00
88,User_88,42.0,India,84.27,
89,User_89,18.0,UK,69.98,2020-01-04 16:00:00
90,User_90,34.0,Canada,84.22,2020-01-04 17:00:00
91,User_91,53.0,India,77.7,2020-01-04 18:00:00
92,User_92,47.0,USA,93.4,2020-01-04 19:00:00
93,User_93,46.0,USA,81.79,2020-01-04 20:00:00
94,User_94,,India,76.27,2020-01-04 21:00:00
95,User_95,54.0,Canada,97.4,2020-01-04 22:00:00
96,User_96,57.0,,76.91,
97,User_97,28.0,Kenya,91.74,2020-01-05 00:00:00
98,User_98,55.0,Germany,74.7,
99,User_99,38.0,USA,55.88,2020-01-05 02:00:00
100,User_100,,India,71.33,2020-01-05 03:00:00
101,User_101,58.0,UK,54.18,2020-01-05 04:00:00
102,User_102,33.0,Kenya,75.07,2020-01-05 05:00:00
103,User_103,50.0,Canada,67.79,2020-01-05 06:00:00
104,User_104,55.0,UK,50.49,2020-01-05 07:00:00
105,User_105,53.0,Canada,52.97,2020-01-05 08:00:00
106,User_106,48.0,Germany,67.54,2020-01-05 09:00:00
107,User_107,48.0,Germany,79.24,2020-01-05 10:00:00
108,User_108,26.0,,78.96,2020-01-05 11:00:00
109,User_109,25.0,Germany,98.08,2020-01-05 12:00:00
110,User_110,31.0,,69.39,2020-01-05 13:00:00
111,User_111,57.0,Kenya,,2020-01-05 14:00:00
112,User_112,18.0,,60.13,2020-01-05 15:00:00
113,User_113,44.0,India,,2020-01-05 16:00:00
114,User_114,42.0,USA,64.23,2020-01-05 17:00:00
115,User_115,33.0,USA,84.5,2020-01-05 18:00:00
116,User_116,26.0,,75.6,2020-01-05 19:00:00
117,,30.0,UK,61.42,2020-01-05 20:00:00
118,User_118,50.0,Kenya,89.92,2020-01-05 21:00:00
119,User_119,49.0,Kenya,77.71,2020-01-05 22:00:00
120,User_120,44.0,,67.16,2020-01-05 23:00:00
121,User_121,,Germany,89.56,2020-01-06 00:00:00
122,User_122,39.0,Kenya,93.28,2020-01-06 01:00:00
123,User_123,25.0,USA,,2020-01-06 02:00:00
124,User_124,54.0,Germany,84.31,2020-01-06 03:00:00
125,User_125,40.0,India,56.22,2020-01-06 04:00:00
126,User_126,45.0,Germany,79.73,2020-01-06 05:00:00
127,User_127,52.0,Germany,62.63,2020-01-06 06:00:00
128,User_128,19.0,UK,65.43,2020-01-06 07:00:00
129,User_129,,UK,88.38,2020-01-06 08:00:00
130,User_130,32.0,USA,92.19,2020-01-06 09:00:00
131,User_131,24.0,UK,95.61,2020-01-06 10:00:00
132,User_132,38.0,USA,59.81,2020-01-06 11:00:00
