email_text,label
Get rich quick! Join our investment scheme and double your money in a week!,1
Please find attached the budget plan for review.,0
URGENT: Your bank account has been compromised. Update your details immediately!,1
Reminder: Your appointment with Ms. Lee is at 6 PM on Wednesday.,0
Limited-time offer! Get 60% off on all products. Visit our website now!,1
Team outing planned for Tuesday. Please RSVP if you're attending.,0
Earn $8544 per week from home! Sign up now!,1
Can you review this document and provide feedback?,0
Your subscription is about to expire! Renew now to avoid service interruption.,1
Don't forget to submit your weekly report by end of the week.,0
Earn $3322 per week from home! Sign up now!,1
Can you review this document and provide feedback?,0
Get rich quick! Join our investment scheme and double your money in a week!,1
Meeting is scheduled for Thursday at 2 PM. Let me know if you can join.,0
Get rich quick! Join our investment scheme and double your money in a week!,1
Can you review this document and provide feedback?,0
Get rich quick! Join our investment scheme and double your money in a week!,1
Here is the agenda for our team meeting next Thursday.,0
Exclusive deal! Buy 1 get 1 free on all fashion items. Act fast!,1
Please find attached the budget plan for review.,0
Congratulations! You've won a free iPhone! Click here to claim now!,1
Reminder: Your appointment with Mr. Johnson is at 10 AM on Tuesday.,0
You have been selected for a special reward! Click the link to claim.,1
Meeting is scheduled for Tuesday at 2 PM. Let me know if you can join.,0
Earn $4220 per week from home! Sign up now!,1
"Hey Charlie, are we still on for dinner tonight?",0
Exclusive deal! Buy 1 get 1 free on all home appliances items. Act fast!,1
Your invoice for January is attached. Let us know if you have any questions.,0
Exclusive deal! Buy 1 get 1 free on all electronics items. Act fast!,1
Don't forget to submit your weekly report by end of the week.,0
You have been selected for a special reward! Click the link to claim.,1
The latest project report has been uploaded to the shared drive.,0
Get rich quick! Join our investment scheme and double your money in a week!,1
Meeting is scheduled for Friday at 2 PM. Let me know if you can join.,0
Exclusive deal! Buy 1 get 1 free on all fashion items. Act fast!,1
Reminder: Your appointment with Dr. Smith is at 4 PM on Monday.,0
Hurry! Only a few spots left for this amazing concert! Register now!,1
Your invoice for February is attached. Let us know if you have any questions.,0
Win a free vacation to Paris! Just enter your details here!,1
Reminder: Your appointment with Ms. Lee is at 4 PM on Friday.,0
Limited-time offer! Get 48% off on all products. Visit our website now!,1
Team outing planned for Monday. Please RSVP if you're attending.,0
Limited-time offer! Get 71% off on all products. Visit our website now!,1
Your invoice for February is attached. Let us know if you have any questions.,0
URGENT: Your bank account has been compromised. Update your details immediately!,1
"Hey Alice, are we still on for dinner tonight?",0
Get rich quick! Join our investment scheme and double your money in a week!,1
Team outing planned for Friday. Please RSVP if you're attending.,0
Congratulations! You've won a free car! Click here to claim now!,1
Can you review this document and provide feedback?,0
Limited-time offer! Get 67% off on all products. Visit our website now!,1
Can you review this document and provide feedback?,0
Your subscription is about to expire! Renew now to avoid service interruption.,1
